Objeto do Contrato;Tipo de Procedimento;Tipo(s) de Contrato;CPV;CPV Tipo ;CPV Designação;CPV Valor;Entidade(s) Adjudicante(s);Entidade(s) Adjudicatária(s);Preço Contratual;Data de Publicação;Data de Celebração do Contrato;Prazo de Execução;Local de Execução;Fundamentação;Causa de Extinção do Contrato;Data de Fecho do Contrato;Preço Total Efetivo;Causas das Alterações ao Prazo;Causas das Alterações ao Preço;Estado;N.º registo do Acordo Quadro;Descrição do Acordo Quadro;Procedimento Centralizado;Ligação para Peças do Procedimento;Lista de Fornecedores (cocontratantes);Aquisição ao Abrigo de Acordo Quadro de outro Estado-membro da UE;Medidas especiais;Regime;Critérios Materiais;CCP;groupMembers
AQS/CPU/011/26 Aquisição de produtos alimentares frescos e congelados para ações de formação - Fornecimento continuado até dezembro de 2026;Concurso público;Aquisição de bens móveis;15220000-6;Principal;"Peixe, filetes de peixe e outras carnes de peixe, congelados";16169.15 € ;Centro de Formação Profissional para o Sector Alimentar (506024717);"Quadragel-Comércio de Produtos Congelados, Lda. (506627632)";"16.169,15 €";01-04-2026;31-03-2026;274 dias;"Portugal, Lisboa, Odivelas";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://www.compraspt.com/cpt-cfpsa/faces/app/acessoDocs.jsp?codigoAcesso=Lt99Xn3yM65Y6lFDGrPwfx8oJonYEBzA7jNHf66HjbsSx1vRqD;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
Prestação de Serviços de Receção e Tratamento de Resíduos Sólidos Urbanos do MARL;Concurso público;Aquisição de serviços;90510000-5;Principal;Tratamento e eliminação de resíduos;75000.0 € ;"MARL - Mercado Abastecedor da Região de Lisboa, SA (503157562)";Blueotter (514999713);"75.000,00 €";01-04-2026;31-03-2026;28 dias;"Portugal, Lisboa, Loures";Artigo 155.º do Código dos Contratos Públicos;;;;;;;Não aplicável.;Não aplicável.;false;https://www.compraspt.com/cpt-marl/faces/app/acessoDocs.jsp?codigoAcesso=A9yZPQVt4kfcWaC2iX01PktqwdnAUILwztedUo4CWG4FgZpSX2;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
Aquisição de  Cateteres de Mapeamento Tridimensional para Eletrofisiologia ;Concurso público;Aquisição de bens móveis;33140000-3;Principal;Material médico de consumo;60000.0 € ;"Unidade Local de Saúde de Lisboa Ocidental, E. P. E. (507618319)";"BSC PORTUGAL, LDA. (504988964)";"60.000,00 €";01-04-2026;31-03-2026;365 dias;"Portugal, Lisboa, Lisboa";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/Public/public-tender-documents/ZTMrZkRJQndnZVBmTnhaUzkrZ085MTZCSGVlcFlPRHFHSGQ0Q0p0S2NjSUNXVzUxWXRDMHhxMzhqWTVoWE12Q0FDTmNvRlBqeFFOaFVQbW5abUxHMlE9PUl2WFdO;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
Aquisição de  Cateteres de Mapeamento Tridimensional para Eletrofisiologia ;Concurso público;Aquisição de bens móveis;33140000-3;Principal;Material médico de consumo;8500.0 € ;"Unidade Local de Saúde de Lisboa Ocidental, E. P. E. (507618319)";"ABBOTT MEDICAL PORTUGAL - DIST. PROD. MÉD., LDA. (504180746)";"8.500,00 €";01-04-2026;05-03-2026;365 dias;"Portugal, Lisboa, Lisboa";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/Public/public-tender-documents/ZTMrZkRJQndnZVBmTnhaUzkrZ085MTZCSGVlcFlPRHFHSGQ0Q0p0S2NjSUNXVzUxWXRDMHhxMzhqWTVoWE12Q0FDTmNvRlBqeFFOaFVQbW5abUxHMlE9PUl2WFdO;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
BS202615 - AQUISIÇÃO DE SERVIÇOS NA ÁREA DE SEGUROS;Concurso público;Aquisição de serviços;66510000-8;Principal;Serviços de seguros;148982.69 € ;Município de Vouzela (506770664);Caravela Companhia de Seguros SA (503640549);"148.982,69 €";01-04-2026;31-03-2026;365 dias;"Portugal, Viseu, Vouzela";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://www.acingov.pt/acingovprod/2/zonaPublica/zona_publica_c/donwloadProcedurePiece/MTA2NTM2Mg;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
142001426 Aquisição Mantas térmicas e Hipotermia plurianual 2026-2028;Concurso público;Aquisição de bens móveis;33140000-3;Principal;Material médico de consumo;15525.0 € ;"Unidade Local de Saúde de Lisboa Ocidental, EPE (507618319)";"MOLNLYCKE HEALTH CARE-Com.Prod. Hospitalares,Lda. (511101066)";"15.525,00 €";01-04-2026;31-03-2026;1096 dias;"Portugal, Lisboa, Lisboa";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/Public/public-tender-documents/aVN4MjYraVg1U1NiVnhqa3R6RXNFWWtUbzFwOW84QXorWmdpTGxYY0FqYUg5S1pBVklWWVQyUkxZMTZkZTBVeVRkV1pkT1lZUXdsMTEycndxYmdrOXc9PSYrKSs4;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
142001426 Aquisição Mantas térmicas e Hipotermia plurianual 2026-2028;Concurso público;Aquisição de bens móveis;33140000-3;Principal;Material médico de consumo;44129.28 € ;"Unidade Local de Saúde de Lisboa Ocidental, EPE (507618319)";Lusopalex - Produtos de Saude Unipessoal Lda (503531588);"44.129,28 €";01-04-2026;31-03-2026;1096 dias;"Portugal, Lisboa, Lisboa";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/Public/public-tender-documents/aVN4MjYraVg1U1NiVnhqa3R6RXNFWWtUbzFwOW84QXorWmdpTGxYY0FqYUg5S1pBVklWWVQyUkxZMTZkZTBVeVRkV1pkT1lZUXdsMTEycndxYmdrOXc9PSYrKSs4;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
142001426 Aquisição Mantas térmicas e Hipotermia plurianual 2026-2028;Concurso público;Aquisição de bens móveis;33140000-3;Principal;Material médico de consumo;68509.5 € ;"Unidade Local de Saúde de Lisboa Ocidental, EPE (507618319)";PMH PRODUTOS MEDICO HOSPITALARES SA (502376899);"68.509,50 €";01-04-2026;31-03-2026;1096 dias;"Portugal, Lisboa, Lisboa";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/Public/public-tender-documents/aVN4MjYraVg1U1NiVnhqa3R6RXNFWWtUbzFwOW84QXorWmdpTGxYY0FqYUg5S1pBVklWWVQyUkxZMTZkZTBVeVRkV1pkT1lZUXdsMTEycndxYmdrOXc9PSYrKSs4;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
BAIRRO QUINTA DE SANTO ANTÓNIO: LOTE 1 - RUA DA FONTE FRESCA E LOTE 2 - RUA DOS SOBREIROS;Concurso público;Empreitadas de obras públicas;45453000-7;Principal;Obras de revisão e recuperação;3903147.34 € ;Município de Setúbal (501294104);"WIKIBUILD, S.A. (509723560)";"3.903.147,34 €";01-04-2026;18-03-2026;360 dias;"Portugal, Setúbal, Setúbal";"Artigo 19.º, alínea a) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://www.acingov.pt/acingovprod/2/zonaPublica/zona_publica_c/donwloadProcedurePiece/OTI5NDY4;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
Aquisição e substituição de sistemas de climatização térmica para salas de formação e gabinetes;Concurso público;Aquisição de bens móveis;39717200-3;Principal;Aparelhos de ar condicionado;14651.08 € ;"Centro de Formação Profissional da Indústria Têxtil, Vestuário, Confecção e Lanifícios (MODATEX) (509906478)";"Openline Facility Services, S.A. (508622069)";"14.651,08 €";01-04-2026;31-03-2026;45 dias;"Portugal, Porto, Porto";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://www.acingov.pt/acingovprod/2/zonaPublica/zona_publica_c/donwloadProcedurePiece/OTkyODMw;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
Aquisição de serviços de limpeza e higiene para o Laboratório Regional de Veterinária;Concurso público;Aquisição de serviços;90911200-8;Principal;Serviços de limpeza de edifícios;31931.64 € ;Direção Regional da Agricultura (600085872);"Samsic - Facility Services, S.A. (504839748)";"31.931,64 €";01-04-2026;31-03-2026;275 dias;"Portugal, Região Autónoma dos Açores, Angra do Heroismo";"Artigo 20.º, alínea b) do Decreto Legislativo Regional n.º 27/2015/A, de 29.12";;;;;;;Não aplicável.;Não aplicável.;false;;false;;;"DLR n.º 27/2015/A, de 29.12";false;false;
Alteração de Acesso ao CS Viseu I - Extensão Silgueiros;Concurso público;Empreitadas de obras públicas;45223000-6;Principal;Construção de estruturas;15879.09 € ;Freguesia de Silgueiros (507153456);"ERGOVISA, LDA. (507511441)";"15.879,09 €";01-04-2026;14-10-2025;60 dias;"Portugal, Viseu, Viseu";"Artigo 19.º, alínea b) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://www.acingov.pt/acingovprod/2/zonaPublica/zona_publica_c/donwloadProcedurePiece/OTE4ODY3;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
Aquisição de Cateteres;Concurso público;Aquisição de bens móveis;33141200-2;Principal;Cateteres;41595.71 € ;"Unidade Local de Saúde do Algarve, EPE (510745997)";"VYGON (PORTUGAL) - PRODUTOS MEDICOS E FARMACÊUTICOS, LIMITADA (503232785)";"41.595,71 €";01-04-2026;26-03-2026;365 dias;"Portugal, Faro, Portimão<BR/>Portugal, Faro, Faro";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/Public/public-tender-documents/RFk0M0VYWXhYb2hQMjNoS013cE5YeUZNSyttdDd4SjZrQ2wwWUtIQWpRTHFHNmc4MGZkT0VubnVIUHlGeHhKMXUzai9Yd2UzY0VqYUZ5ZzB3VmdacEE9PTkmNipo;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
Aquisição e substituição de sistemas de climatização térmica para salas de formação e gabinetes;Concurso público;Aquisição de bens móveis;39717200-3;Principal;Aparelhos de ar condicionado;27431.14 € ;"Centro de Formação Profissional da Indústria Têxtil, Vestuário, Confecção e Lanifícios (MODATEX) (509906478)";"Santos da Cunha 4 Ass.-S:I de Gas,Lda (504469223)";"27.431,14 €";01-04-2026;31-03-2026;45 dias;"Portugal, Porto, Porto";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://www.acingov.pt/acingovprod/2/zonaPublica/zona_publica_c/donwloadProcedurePiece/OTkyODMw;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
Aquisição de bens e serviços de manutenção prevent. e corretiva parque geradores DGRM;Concurso público;Aquisição de bens móveis;31127000-2;Principal;Geradores de emergência;64636.17 € ;"Direção-Geral de Recursos Naturais, Segurança e Serviços Marítimos (600084973)";Turbomar Energia -Equip. Produção (500290946);"64.636,17 €";01-04-2026;31-03-2026;365 dias;Portugal;"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://www.anogov.com/op-dgrm/faces/app/acessoDocs.jsp?codigoAcesso=dhYMRq5U3C3EKuHrF3WgTDvF3vTcGTO9hPcz2VztzpxBPUHkP6;false;;;Código dos Contratos Públicos ( DL 111-B/2017 );false;false;
Aluguer de filmes para exibição de cinema no Auditório S. Mateus.;Concurso público;Aquisição de serviços;92130000-1;Principal;Serviços de projecção de filmes;13770.0 € ;Município de Elvas (501272968);Iniciativa Poética (516904876);"13.770,00 €";01-04-2026;31-03-2026;426 dias;"Portugal, Portalegre, Elvas";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/Public/public-tender-documents/NkMxdm11MmFvclNUVC9JaGs3aDZEaUZqOW9MOThmVnpCcFBteHBFMjJwS3ArYkpkTThURHRYN21OM1ZjZ2kxeTcrcE56NW1UVHdHc0pPK0V6UGZlWHc9PXViUlBz;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
Serviços de Manutenção de 35 Polidesportivos em Espaço Público;Concurso público;Aquisição de serviços;50800000-3;Principal;Serviços de reparação e manutenção diversos;120275.0 € ;Município de Santa Maria da Feira (501157280);"Euroténis - Equipamentos Desportivos, Lda. (502112174)";"120.275,00 €";01-04-2026;27-03-2026;365 dias;"Portugal, Aveiro, Santa Maria da Feira";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://www.anogov.com/cm-smfeira/faces/app/acessoDocs.jsp?codigoAcesso=4DMyjMgHoPZLDuup9c1IuE4BtTanUGtKVpCRZjjWTuoKXhDuqB;false;;;Código dos Contratos Públicos ( DL 111-B/2017 );false;false;
Reagentes de Citometria Fluxo (Hemato-Oncologia ) - 2026-2028;Concurso público;Aquisição de bens móveis;33696500-0;Principal;Reagentes de laboratório;215761.0 € ;"Unidade Local de Saúde da Arrábida, EPE (507606787)";enzifarma (503636975);"215.761,00 €";01-04-2026;03-02-2026;1096 dias;Portugal;"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/Public/public-tender-documents/clc5YTEvTUNnNGJaZzVkLzM4RWYxdnNTMkVCSGNFSWFETEl0UDZwNmt4MktqTFFPMVdlY0J1cGI5U0hMcXBoMVNPYWFhT3FjTDZPVVNLeVRpTUdhSnc9PVJpNFhF;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
2024_071CP - Celebração de Contratos de aluguer Operacional de Veículos Operacionais da Tipologia «Furgões» e «chassis-Cabine» e Serviços Associados para as empresas do Grupo Águas de Portugal.;Concurso público;Locação de bens móveis;34100000-8;Principal;Veículos a motor;134928.0 € ;"Águas de Santo André, SA (505600005)";"Leasys Mobility Portugal, S.A. (503188620)";"134.928,00 €";01-04-2026;18-12-2025;1461 dias;"Portugal, Setúbal, Santiago do Cacém";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;true;https://www.acingov.pt/acingovprod/2/zonaPublica/zona_publica_c/donwloadProcedurePiece/OTAwMTc4;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
"Empreitada de “Eficiência Energética em 4 Edifícios Municipais; Lote 1- Estádio Municipal do Crato; Lote 2 - Piscina Coberta do Crato; Lote 3 – Parque Aquático do Crato; Lote 4 – Edifício Sá Nogueira";Concurso público;Empreitadas de obras públicas;45453100-8;Principal;Obras de recuperação;202500.0 € ;Município do Crato (506659968);Smartwatt (508367360);"202.500,00 €";01-04-2026;18-02-2026;180 dias;"Portugal, Portalegre, Crato";"Artigo 19.º, alínea a) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/Public/public-tender-documents/dEEwRGdBOFk5cEUxN2tQbWY3NkY4VEZmRzJwbTBaMVRQUjVndjgvcXNLNG1Pa2ZVT0hqNThVNmVJYnpSZmszK29Md3BRTHBwU3VQWnc0NXFmbTNOREE9PTBkVF9Q;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
REABILITAÇÃO DA ANTIGA ESCOLA DE REBORDÕES - INFESTA ;Concurso público;Empreitadas de obras públicas;45453100-8;Principal;Obras de recuperação;80574.75 € ;Município de Celorico de Basto (506884929);"Granibasto - Granitos de Basto, S. A. (502169613)";"80.574,75 €";01-04-2026;30-03-2026;150 dias;"Portugal, Braga, Celorico de Basto";"Artigo 19.º, alínea b) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/Public/public-tender-documents/TE41TlZYWXBUNnRldWlnSXo0S00rMGEvOXdGSzhxTGZvWVZLN3h6SjFrTFUwL240dElobSt0a3hRc20rcG1xdlN0NkJiUENwaFZTWlAvbXBTN20vMEE9PStseWdv;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
"Serviços de reparação e manutenção preventiva para veículos pesados da marca ""Volvo"".";Concurso público;Aquisição de serviços;50114200-9;Principal;Serviços de manutenção de camiões;105000.0 € ;Município de Santiago do Cacém (502130040);Nors VT Trucks and Buses Portugal S.A. (505051931);"105.000,00 €";01-04-2026;30-03-2026;365 dias;"Portugal, Setúbal, Santiago do Cacém";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/Public/public-tender-documents/S21NV29oVHZGS1FCSlFpWUw4QnNXUWdFWDVpdlZHaS9nQmQ1K3dVY1p0OVRPYS9vS003TVFIR2s5VFVIQlJaN0NZUTd6eFgweFJ0dmw2aGJRaUpISlE9PVN1JSl2;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
Empreitada de Expansão do Gabinete do MDN no 7.º Piso  Ala Nascente do Edifício do Estado Maior General das Forças Armadas;Concurso público;Empreitadas de obras públicas;45200000-9;Principal;Obras de construção total ou parcial e de engenharia civil;106121.177 € ;Secretaria-Geral do Ministério da Defesa Nacional (600032205);"TECNIPRISMA Engenharia, Lda (509766749)";"106.121,18 €";01-04-2026;18-03-2026;89 dias;"Portugal, Lisboa, Lisboa";"Artigo 19.º, alínea b) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://www.acingov.pt/acingovprod/2/zonaPublica/zona_publica_c/donwloadProcedurePiece/OTk0OTEz;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
"PF 1159/2025 - Aquisição de serviços de recrutamento e seleção de recursos humanos para a Divisão de Obras Municipais e Conservação do Património (Um técnico superior, um assistente técnico e um assistente operacional)";Concurso público;Aquisição de serviços;79620000-6;Principal;"Serviços de fornecimento de pessoal, inclusive temporário";65088.0 € ;Município de Arcos de Valdevez (505211696);"Grandalvo Serviços, Lda (513979611)";"65.088,00 €";01-04-2026;31-03-2026;365 dias;"Portugal, Viana do Castelo, Arcos de Valdevez";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/Public/public-tender-documents/V1Bjbkd3VjcrUGlhVzZma01ZYmRUZ0xyVzJPWElvaTVLdy94NERRSXBuYWJpeU00RzQ2QU9DanJoMmV1dnp5UWdReTBtbnhWZHQyTldqbWgyZzhFSEE9PURsaFR5;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
CP/142/2026 - Prestação de Serviços de Assistência Técnica de Estofos.;Concurso público;Aquisição de serviços;71356200-0;Principal;Serviços de assistência técnica;182568.0 € ;"Unidade Local de Saúde de Santo António, EPE (517392259)";Avelino Dores;"182.568,00 €";01-04-2026;30-03-2026;36 dias;Portugal;"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/Public/public-tender-documents/K0dUeVQ3aVhOc3VMb0JDNnF0am5lSlJEdWt1disyMXJTZ0llK2dHQ3E3U3g1Qk1zTVI0ckFLTHFGVDIwT3VSdllvcHlNcmNSbWdpdllMY0xLMDhITFE9PTFYOUFs;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
FCUP_FCUP_CPN_00013_2026 - Aquisição de um Sistema de Espectrómetro Raman;Concurso público;Aquisição de bens móveis;38433000-9;Principal;Espectrómetros;98000.0 € ;Universidade do Porto - Faculdade de Farmácia (FFUP) (501413197);"MT Brandão, Lda (501548084)";"98.000,00 €";01-04-2026;31-03-2026;51 dias;"Portugal, Porto, Porto";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://www.acingov.pt/acingovprod/2/zonaPublica/zona_publica_c/donwloadProcedurePiece/MTA2NzkwNA;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
"PE_25104_CNE-Concurso público nacional para empreitada de Adaptação dos Espaços Museológicos e de Apoio na Escola Secundária de Camões, em Lisboa";Concurso público;Empreitadas de obras públicas;45210000-2;Principal;Construção de edifícios;261396.43 € ;"Construção Pública, EPE (508069645)";"Linhas Gerais - Sociedade de Construções e Reabilitação Urbana, Lda (508241464)";"261.396,43 €";01-04-2026;23-03-2026;185 dias;"Portugal, Lisboa, Lisboa";"Artigo 19.º, alínea b) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/Public/public-tender-documents/MkZNZTZhZXEyWGFPVytPSzRwb2x1eEt4ZlRwN3dRb3RTNGNDZnN5VkJnc291UkR5QUpxUTJvVU03S2ZrTWtUU0dWbHVSdzRtZUcweWhJektKRlZHUnc9PVVYYiZy;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
Aquisição de viaturas elétricas;Concurso público;Aquisição de bens móveis;34144900-7;Principal;Veículos eléctricos;23985.08 € ;"Parques Tejo, EM (504719670)";Auto Industrial S.A. (500035350);"23.985,08 €";01-04-2026;30-03-2026;90 dias;"Portugal, Lisboa, Oeiras";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://www.acingov.pt/acingovprod/2/zonaPublica/zona_publica_c/donwloadProcedurePiece/OTkwNDE5;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
"262A000027 – Aquisição de consumíveis para a realização de terapia de feridas por pressão negativa, com colocação de equipamento, para o ano 2026";Concurso público;Aquisição de bens móveis;33190000-8;Principal;Dispositivos e produtos médicos variados;106930.0 € ;"Unidade Local de Saúde de Santa Maria, E. P. E. (508481287)";"Paul Hartmann, Lda. (502271728)";"106.930,00 €";01-04-2026;30-03-2026;275 dias;"Portugal, Lisboa, Lisboa";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/Public/public-tender-documents/aWdxODRJcWpzbVpEditMM09xZ0FVL2d1Wk56Z2wyY0lzcjk2Z0NVQXVxMnlBV25jYXBkVkhPY3UrQm1kVkV0RHJ4SWxhWldpZmtYdWNVcjE0eWswUmc9PVMrekZW;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
"Aquisição de Serviços para Conceção/Construção do Stand da CIMDOURO, para participação na Feira Internacional de Turismo de Lisboa - BTL'26";Concurso público;Locação de bens móveis;39154100-7;Principal;Stands de exposição;90154.0 € ;Comunidade Intermunicipal do Douro (508779200);"Supreme Stage, Lda (510880665)";"90.154,00 €";01-04-2026;27-01-2026;60 dias;"Portugal, Lisboa, Lisboa";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/Public/public-tender-documents/VHd1dldYVGRRMW92OHZJWTFlcWV1a3Y2NlBHTkx5cEVtcC9QNWlsdnh1MjZmempKaGxiYzREZUNPSnZZdHMwajI5SDN3Tjk2MUFocmJFbGc3R1BkcHc9PUd0ZXJm;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
"262A000027 – Aquisição de consumíveis para a realização de terapia de feridas por pressão negativa, com colocação de equipamento, para o ano 2026";Concurso público;Aquisição de bens móveis;33190000-8;Principal;Dispositivos e produtos médicos variados;331802.0 € ;"Unidade Local de Saúde de Santa Maria, E. P. E. (508481287)";"Smith & Nephew, Lda. (503552461)";"331.802,00 €";01-04-2026;30-03-2026;275 dias;"Portugal, Lisboa, Lisboa";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/Public/public-tender-documents/aWdxODRJcWpzbVpEditMM09xZ0FVL2d1Wk56Z2wyY0lzcjk2Z0NVQXVxMnlBV25jYXBkVkhPY3UrQm1kVkV0RHJ4SWxhWldpZmtYdWNVcjE0eWswUmc9PVMrekZW;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
"Aquisição de Solução Tecnológica para testes de IA para a Unidade Local de Saúde São João, EPE ";Concurso público;Aquisição de bens móveis;30230000-0;Principal;Equipamento informático;229969.78 € ;"Unidade Local de Saúde de São João, EPE (509821197)";"CLARANET PORTUGAL, S.A. (503412031)";"229.969,78 €";01-04-2026;31-03-2026;30 dias;"Portugal, Porto, Porto";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/Public/public-tender-documents/REpuZUdnQ1VGZGVBRGFZVk1EZlZUbFNjcnI1cVBheDB0dWRoUlA1TWF3M3lXaTlqWnIxc0dJS0UvWm1oMGVaZGVpK3FSWTd1VUhaaDBHbnROZTFMR3c9PTF5eSUx;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
"Aquisição do serviço Rent-a-Car – de março a dezembro de 2026, para 18 viaturas ligeiras de passageiros de tipologia inferior";Concurso público;Aquisição de serviços;60100000-9;Principal;Serviços de transporte rodoviário;72900.0 € ;"Comissão de Coordenação e Desenvolvimento Regional do Centro, IP (517638754)";"Internacional Car II, S.A. (515333913)";"72.900,00 €";01-04-2026;27-03-2026;306 dias;"Portugal, Coimbra, Coimbra";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/Public/public-tender-documents/dXcxR1g4cXdpRXlNLzk1MWI0d2tvQzAzMGdFNktCTGhFNStNK0RlVHBLeEhnNlZ0Z3dwWVJtZ2VKTDkvUk5tckRyNHA0NURRekExZjg5L2lQRFBnWnc9PWdrcUc3;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
